Type,Institution,Shortname,USATLAS,DUNE Ops,DUNE,USATLAS Ops,USCMS,USCMS Ops,IRIS-HEP,A3D3,Latitude,Longitude,USCMS Ops DOE,USCMS Ops NSF,USATLAS Ops DOE,USATLAS Ops NSF,USATLAS Research DOE,USATLAS Research NSF,USCMS Research DOE,USCMS Research NSF
1,Abilene Christian University,Abilene Christian,,,1,,,,,,32.4697,-99.7081,,,,,,,,
1,Augustana University,Augustana,,,1,,,,,,43.5255,-96.7397,,,,,,,,
1,Baylor University,Baylor,,,,,1,1,,,31.5485,-97.1143,Y,,,,,,,
1,Bethel University,Bethel,,,,,1,,,,45.0582,-93.1622,,,,,,,,
1,Boston University,BU,,,1,,1,1,,,42.3505,-71.1054,Y,Y,,,,,,
1,Brandeis University,Brandeis,1,,,,,,,,42.3654,-71.2586,,,,,1,,,
1,Brown University,Brown,,,,,1,1,,,41.8268,-71.4025,Y,,,,,,,
1,Caltech,Caltech,,,1,,1,1,,1,34.1377,-118.1253,Y,Y,,,,,,
1,Carnegie Mellon University,CMU,,,,,1,1,,,40.4444,-79.9436,Y,,,,,,,
1,Catholic University of America,CUA,,,,,1,,,,38.9369,-76.9987,,,,,,,,
1,Colorado State University,CSU,,1,1,,,,,,40.5734,-105.0865,,,,,,,,
1,Columbia University,Columbia,1,,1,1,,,,,40.8075,-73.9626,,,,,,1,,
1,Cornell University,Cornell,,,,,1,1,1,,42.4534,-76.4735,,Y,,,,,,
1,CSU East Bay,CSU East Bay,1,,,1,,,,,37.6573,-122.0563,,,,,,1,,
1,CSU Sacramento,CSU Sacramento,1,,,,,,,,38.5608,-121.424,,,,,,1,,
1,CSU Stanislaus,CSU Stanislaus,1,,,,,,,,37.5225,-120.8581,,,,,,,,
1,Dakota State University,Dakota State,,,1,,,,,,44.0041,-97.1147,,,,,,,,
1,Drexel University,Drexel,,,1,,,,,,39.9566,-75.1899,,,,,,,,
1,Duke University,Duke,1,,1,1,,,,1,36.0014,-78.9382,,,,,1,,,
1,Fairfield University,Fairfield,,,,,1,,,,41.1601,-73.2581,,,,,,,,
1,Florida Institute of Technology,FIT,,,,,1,,,,28.064,-80.6215,,,,,,,,
1,Florida State University,FSU,,,1,,1,1,,,30.4419,-84.2985,Y,,,,,,,
1,Georgia Institute of Technology,Georgia Tech,,,,,,,,1,33.7756,-84.3963,,,,,,,,
1,Harvard University,Harvard,1,,1,1,,,,,42.377,-71.1167,,,,,1,,,
1,Idaho State University,Idaho State,,,1,,,,,,42.861,-112.4347,,,,,,,,
1,Illinois Institute of Technology,IIT,,,1,,,,,,41.8349,-87.627,,,,,,,,
1,Indiana University,IU,1,,1,1,,,1,,39.1653,-86.5264,,,,,1,,,
1,Iowa State University,Iowa State,1,,1,,,,,,42.0267,-93.6465,,,,,,,,
1,Johns Hopkins University,JHU,,,,,1,1,,,39.3299,-76.6205,,Y,,,,,,
1,Kansas State University,KSU,,,,,1,1,,,39.1974,-96.5847,Y,,,,,,,
1,Louisiana State University,LSU,,,1,,,,,,30.4133,-91.18,,,,,,,,
1,Louisiana Tech University,Lousiana Tech,1,,,,,,,,32.53,-92.6522,,,,,1,,,
1,Massachusetts Institute of Technology,MIT,,,1,,1,1,,1,42.3601,-71.0942,Y,Y,,,,,,
1,Michigan State University,MSU,1,,1,1,,,,,42.7018,-84.4822,,,,,,1,,
3,Morgridge Institute,Morgridge,,,,,,,1,,43.0731,-89.4012,,,,,,,,
1,New York University,NYU,1,,,,,,,,40.7295,-73.9965,,,,,,1,,
1,Northeastern University,Northeastern,,,,,1,1,,,42.3398,-71.0892,Y,Y,,,,,,
1,Northern Illinois University,NIU,1,,1,,1,,,,41.9351,-88.7733,,,,,,1,,
1,Northwestern University,Northwestern,,,1,,1,1,,,42.0565,-87.6753,Y,,,,,,,
1,Occidental College,Occidental,,,1,,,,,,34.1272,-118.2127,,,,,,,,
1,Ohio State University,Ohio State,1,,1,1,1,1,,,40.0076,-83.03,,Y,,,1,,,
1,Oklahoma State University,Oklahoma State,1,,,1,,,,,36.1259,-97.0661,,,,,1,,,
1,Oregon State University,Oregon State,,1,1,,,,,,44.5638,-123.2794,,,,,,,,
1,Otterbein University,Otterbein,,,1,,,,,,40.1251,-82.9377,,,,,,,,
1,Princeton University,Princeton,,,,,1,1,1,,40.343,-74.6514,Y,Y,,,,,,
1,Purdue University Northwest,Purdue Northwest,,,,,1,1,,,41.5868,-87.4759,Y,,,,,,,
1,Purdue University,Purdue,,,,,1,1,,1,40.4237,-86.9212,Y,Y,,,,,,
1,Rice University,Rice,,1,1,,1,1,,,29.7174,-95.4018,Y,Y,,,,,,
1,Rockefeller University,Rockefeller,,,,,1,,,,40.7625,-73.9557,,,,,,,,
1,Rutgers University,Rutgers,,,1,,1,1,,,40.5008,-74.4474,,Y,,,,,,
1,San José State University,San Jose State,,,1,,,,,,37.3352,-121.8811,,,,,,,,
3,Sanford Underground Research Facility,Sanford Lab,,,1,,,,,,44.3533,-103.7547,,,,,,,,
1,South Dakota School of Mines and Technology,SDM,,,1,,,,,,44.0744,-103.2064,,,,,,,,
1,Southern Methodist University,SMU,1,,1,1,,,,,32.8423,-96.7848,,,,,1,,,
1,Stanford University,Stanford,1,,,1,,,1,,37.4275,-122.1697,,,,,,1,,
1,SUNY Buffalo,Buffalo,,,,,1,1,,,43.0014,-78.787,Y,,,,,,,
1,SUNY Stony Brook,Stony Brook,1,,1,1,,,,,40.9124,-73.1237,,,,,,1,,
1,Syracuse University,Syracuse,,,1,,,,,,43.0392,-76.1351,,,,,,,,
1,Texas A&M University,TAMU,,,,,1,1,,,30.6187,-96.3365,Y,Y,,,,,,
1,Texas A&M University-Corpus Christi,TAMU Corpus Christi,,,1,,,,,,27.7126,-97.3252,,,,,,,,
1,Texas Tech University,TTU,,,,,1,,,,33.5845,-101.8751,,,,,,,,
1,The College of William and Mary,William and Mary,,,1,,,,,,37.2724,-76.7121,,,,,,,,
1,The Pennsylvania State University,Penn State,,,1,,,,,,40.7982,-77.8599,,,,,,,,
1,The University of Albany (SUNY Albany),SUNY Albany,,,1,,,,,,42.686,-73.8234,,,,,,,,
1,Tougaloo College,Tougaloo,,,,,1,1,,,32.4012,-90.1614,,Y,,,,,,
1,Tufts University,Tufts,1,1,1,1,,,,,42.4075,-71.119,,,,,1,,,
1,University of Alabama,U.Alabama,,,,,1,1,,,33.2098,-87.5692,Y,,,,,,,
1,University of Arizona,U.Arizona,1,,1,1,,,,,32.2319,-110.9501,,,,,1,,,
